03Q02,Alexis
04A01,Hayes (Man.)
04A02,Fox
04A03,Gods
04B01,Black Duck
04C01,Severn
04D01,Shagamu
04D02,Winisk
04E01,Sutton
04E02,Ekwan
04F01,Attawapiskat
04G01,Root River Diversion
04G02,Ogoki Diversion
04G03,Upper Albany
04G04,Ogoki
04H01,Kapiskau
04H02,Lower Albany
04H03,Kinosheo
04J01,Long Lake Diversion
04J02,Kenogami
04K01,Moose (Ont.)
04L01,Missinaibi
04L02,Opasatika Diversion
04L03,Mattagami
04M01,Abitibi
04N01,Partridge
04N02,Harricanaw
04N03,Missisicabi
05A01,Oldman
05A02,St. Mary
05A03,Little Bow
05A04,Upper South Saskatchewan
05A05,Pakowki Lake
05A06,Many Island Lake
05B01,Upper Bow
05B02,Central Bow
05B03,Highwood
05B04,Lower Bow
05C01,Upper Red Deer (Alta.)
05C02,Central Red Deer (Alta.)
05C03,Berry
05C04,Lower Red Deer (Alta.)
05C05,Sullivan Lake
05C06,San Francisco Lake
05D01,Upper North Saskatchewan
05D02,Brazeau
05E01,Central North Saskatchewan
05E02,Sturgeon (Alta.)
05E03,Vermilion (Alta.)
05F01,Upper Battle
05F02,Central Battle
05F03,Ribstone
05F04,Lower Battle
05G01,Manitou Lake
05G02,Kiyiu Lake
05G03,Eagle
05G04,Lower North Saskatchewan
05G05,Sturgeon (Sask.)
05H01,Lake Diefenbaker
05H02,Swift Current Diversion
05H03,Swift Current
05H04,Lower South Saskatchewan
05H05,Crane Lake
05H06,Happyland
05H07,Ess Lake
05H08,Gander Lake
05H09,Bad Lake
05H10,Rice Lake
05J01,Old Wives Lake
05J02,Moose Jaw
05J03,Thunder
05J04,Upper Qu'Appelle
05J05,Wascana
05J06,Last Mountain
05J07,Lower Qu'Appelle
05K01,Lenore Lake
05K02,Upper Carrot
05K03,Saskatchewan
05K04,Saskatchewan -- Lower Carrot
05K05,Torch and Mossy
05K06,Sturgeon-weir
05K07,Lower Saskatchewan
05K08,Pasquia Diversion
05K09,Moose (Man.)
05L01,Lake Winnipegosis
05L02,Red Deer (Sask. -- Man.)
05L03,Shoal
05L04,Mossy
05L05,Lake Manitoba
05L06,Dauphin
05M01,Quill Lakes
05M02,Whitesand
05M03,Upper Assiniboine
05M04,Central Assiniboine
05M05,Little Saskatchewan
05M06,Lower Assiniboine
05N01,Upper Souris
05N02,Lower Souris
05O01,Upper Red
05O02,Pembina (Man.)
05O03,Roseau
05O04,Morris
05O05,Rat
05O06,La Salle
05O07,Seine
05O08,Lower Red
05P01,Rainy
05P02,Lake of the Woods
05P03,Winnipeg
05P04,Whiteshell
05P05,Whitemouth
05Q01,English
05R01,Manigotagan
05R02,Bloodvein
05R03,Berens
05R04,Poplar
05R05,Mukutawa
05S01,Brokenhead
05S02,Willow
05S03,Icelandic
05S04,Fisher
05S05,Mantagao
05S06,Warpath
05S07,North and South Twin
05S08,William
05T01,Grass
05T02,Burntwood
05U01,Upper Nelson
05U02,Lower Nelson
06A01,Beaver
